class_name,videoname,length
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_000,69
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_001,40
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_002,67
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_003,39
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_004,51
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_005,37
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_006,74
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_007,58
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_008,43
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_009,43
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_010,47
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_011,37
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_012,59
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_013,46
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_014,44
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_015,50
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_016,54
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_017,70
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_018,59
ALS_IceBucket_Challenge,ALS_IceBucket_Challenge_019,91
CPR,CPR_000,51
CPR,CPR_001,53
CPR,CPR_002,82
CPR,CPR_003,87
CPR,CPR_004,45
CPR,CPR_005,63
CPR,CPR_006,61
CPR,CPR_007,52
CPR,CPR_008,84
CPR,CPR_009,78
CPR,CPR_010,76
CPR,CPR_011,41
CPR,CPR_012,83
CPR,CPR_013,64
CPR,CPR_014,55
CPR,CPR_015,67
CPR,CPR_016,49
CPR,CPR_017,81
CPR,CPR_018,88
CPR,CPR_019,81
abseiling,abseiling_000,63
abseiling,abseiling_001,61
abseiling,abseiling_002,87
abseiling,abseiling_003,102
abseiling,abseiling_004,64
abseiling,abseiling_005,123
abseiling,abseiling_006,132
abseiling,abseiling_007,100
abseiling,abseiling_008,132
abseiling,abseiling_009,61
abseiling,abseiling_010,131
abseiling,abseiling_011,135
abseiling,abseiling_012,120
abseiling,abseiling_013,65
abseiling,abseiling_014,51
abseiling,abseiling_015,85
abseiling,abseiling_016,86
abseiling,abseiling_017,63
abseiling,abseiling_018,105
abseiling,abseiling_019,67
add_new_car_tire,add_new_car_tire_000,152
add_new_car_tire,add_new_car_tire_001,302
add_new_car_tire,add_new_car_tire_002,55
add_new_car_tire,add_new_car_tire_003,116
add_new_car_tire,add_new_car_tire_004,117
add_new_car_tire,add_new_car_tire_005,121
add_new_car_tire,add_new_car_tire_006,172
add_new_car_tire,add_new_car_tire_007,67
add_new_car_tire,add_new_car_tire_008,103
add_new_car_tire,add_new_car_tire_009,241
add_new_car_tire,add_new_car_tire_010,108
add_new_car_tire,add_new_car_tire_011,97
add_new_car_tire,add_new_car_tire_012,177
add_new_car_tire,add_new_car_tire_013,65
add_new_car_tire,add_new_car_tire_014,45
